구분,지정번호,업체명,매장명,지정기간
중소형,제686호,초록마을,울산신정점,2021-09-01 ~ 2024-08-31
중소형,제687호,초록마을,울산전하점,2021-09-01 ~ 2024-08-31
중소형,제688호,초록마을,오산원동점,2021-09-01 ~ 2024-08-31
중소형,제689호,초록마을,대구만촌점,2021-09-01 ~ 2024-08-31
중소형,제690호,초록마을,대구수성구청점,2021-09-01 ~ 2024-08-31
중소형,제691호,초록마을,대구수성점,2021-09-01 ~ 2024-08-31
중소형,제692호,초록마을,대구신서혁신점,2021-09-01 ~ 2024-08-31
중소형,제693호,초록마을,대구월촌점,2021-09-01 ~ 2024-08-31
중소형,제694호,초록마을,대구율하점,2021-09-01 ~ 2024-08-31
중소형,제695호,초록마을,대구칠곡점,2021-09-01 ~ 2024-08-31
중소형,제696호,초록마을,경북도청점,2021-09-01 ~ 2024-08-31
중소형,제697호,초록마을,구미확장단지점,2021-09-01 ~ 2024-08-31
중소형,제698호,초록마을,거창점,2021-09-01 ~ 2024-08-31
중소형,제699호,초록마을,녹번역점,2021-09-01 ~ 2024-08-31
중소형,제700호,초록마을,도곡렉슬점,2021-09-01 ~ 2024-08-31
중소형,제701호,초록마을,목동롯데캐슬점,2021-09-01 ~ 2024-08-31
중소형,제702호,초록마을,목동하이페리온점,2021-09-01 ~ 2024-08-31
중소형,제703호,초록마을,불광점,2021-09-01 ~ 2024-08-31
중소형,제704호,초록마을,서초교대역점,2021-09-01 ~ 2024-08-31
중소형,제705호,초록마을,과천점,2021-09-01 ~ 2024-08-31
중소형,제706호,초록마을,광명철산점,2021-09-01 ~ 2024-08-31
중소형,제707호,초록마을,금천롯데캐슬점,2021-09-01 ~ 2024-08-31
중소형,제708호,초록마을,순천왕지점,2021-09-01 ~ 2024-08-31
중소형,제709호,초록마을,순천조례점,2021-09-01 ~ 2024-08-31
중소형,제710호,초록마을,광주동천점,2021-09-01 ~ 2024-08-31
중소형,제711호,초록마을,광주봉선점,2021-09-01 ~ 2024-08-31
중소형,제712호,초록마을,나주빛가람중흥점,2021-09-01 ~ 2024-08-31
중소형,제713호,초록마을,광주하남점,2021-09-01 ~ 2024-08-31
중소형,제714호,초록마을,전주서신점,2021-09-01 ~ 2024-08-31
중소형,제715호,파라곤 홈마트,세종점,2021-09-01 ~ 2024-08-31
중소형,제716호,GS25,강남프리미엄점,2021-12-07 ~ 2024-12-06
중소형,제717호,GS25,건국점,2021-12-07 ~ 2024-12-06
중소형,제718호,GS25,동두천 송내점,2021-12-07 ~ 2024-12-06
